spec_id,spec_label,country,estimate,se,t,n
S1,"S1: Chen-Lin original (TAP, FIN, averaged PV, raw, reduced controls)",TAP,0.0785,0.0181,4.34,3465
S1,"S1: Chen-Lin original (TAP, FIN, averaged PV, raw, reduced controls)",FIN,0.1541,0.0106,14.54,6044
S2,S2: Chen-Lin + cluster-robust SE on school,TAP,0.0785,0.0237,3.31,3465
S2,S2: Chen-Lin + cluster-robust SE on school,FIN,0.1541,0.0122,12.63,6044
S3,S3: Chen-Lin + Rubin PV pooling,TAP,0.0679,0.0169,4.02,3465
S3,S3: Chen-Lin + Rubin PV pooling,FIN,0.1752,0.0138,12.7,6044
S4,S4: Chen-Lin + Rubin PV + cluster-robust,TAP,0.0679,0.0203,3.34,3465
S4,S4: Chen-Lin + Rubin PV + cluster-robust,FIN,0.1752,0.0154,11.38,6044
S5,S5: Within-country z of SDLEFF,TAP,0.0673,0.0202,3.33,3465
S5,S5: Within-country z of SDLEFF,FIN,0.1771,0.0155,11.43,6044
S6,S6: Standard controls (+ repeated) instead of reduced,TAP,0.0691,0.0207,3.34,3465
S6,S6: Standard controls (+ repeated) instead of reduced,FIN,0.1726,0.0153,11.28,6044
